Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at,Neighborhoods,ESNCAG - Boundary File,Central Market/Tenderloin Boundary Polygon - Updated,Civic Center Harm Reduction Project Boundary,HSOC Zones as of 2018-06-05,Invest In Neighborhoods (IIN) Areas,Current Supervisor Districts,Current Police Districts,year,half year
149375165010,2025-07-01 12:41:00,2025/07/01,12:41,2025,Tuesday,2025/07/01 12:41:00 PM,1493751,250363983,251821408.0,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,ALEMANY BLVD \ GENEVA AVE,22052000.0,Ingleside,Outer Mission,11.0,11.0,37.71783447265625,-122.44232940673828,POINT (-122.442329407 37.717834473),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,80.0,,,,,,1.0,9.0,2025,2
149381606314,2025-07-01 14:15:00,2025/07/01,14:15,2025,Tuesday,2025/07/01 02:29:00 PM,1493816,250364210,251821739.0,II,Initial,,6314,Larceny Theft,Larceny Theft - Bicycle,"Theft, Bicycle, >$950",Open or Active,16TH ST \ POTRERO AVE,24022000.0,Mission,Mission,9.0,10.0,37.76578140258789,-122.40753173828124,POINT (-122.407531738 37.765781403),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,54.0,,,,3.0,,9.0,3.0,2025,2
149371063010,2025-07-01 09:22:00,2025/07/01,09:22,2025,Tuesday,2025/07/01 09:22:00 AM,1493710,250016308,,IS,Initial Supplement,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,LEAVENWORTH ST \ UNITED NATIONS PLZ,30044000.0,Tenderloin,Tenderloin,5.0,6.0,37.779991149902344,-122.41349029541016,POINT (-122.413490295 37.77999115),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,21.0,,1.0,1.0,1.0,,10.0,5.0,2025,2
149389506364,2025-07-01 18:20:00,2025/07/01,18:20,2025,Tuesday,2025/07/01 07:46:00 PM,1493895,250364828,251822525.0,II,Initial,,6364,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",Cite or Arrest Adult,OFARRELL ST \ POWELL ST,24904000.0,Central,Tenderloin,3.0,3.0,37.78641128540039,-122.40803527832033,POINT (-122.408035278 37.786411285),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,19.0,,,,,,3.0,6.0,2025,2
149373264010,2025-07-01 09:59:00,2025/07/01,09:59,2025,Tuesday,2025/07/01 10:05:00 AM,1493732,250363610,251820867.0,II,Initial,,64010,Non-Criminal,Other,"Dog, Bite or Attack",Cite or Arrest Adult,COMMER CT \ GARLINGTON CT,20138000.0,Bayview,Bayview Hunters Point,10.0,10.0,37.73235321044922,-122.3844985961914,POINT (-122.384498596 37.73235321),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,86.0,,,,,,9.0,2.0,2025,2
149370065010,2025-07-01 07:25:00,2025/07/01,07:25,2025,Tuesday,2025/07/01 07:25:00 AM,1493700,250363303,251820427.0,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,14TH ST \ MISSION ST,24372000.0,Mission,Mission,9.0,9.0,37.768272399902344,-122.41998291015624,POINT (-122.41998291 37.7682724),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,53.0,,,1.0,3.0,,2.0,3.0,2025,2
149370827199,2025-07-01 08:33:00,2025/07/01,08:33,2025,Tuesday,2025/07/01 08:33:00 AM,1493708,250363381,251820602.0,II,Initial,,27199,Other Miscellaneous,Loitering,Lodging Without Permission,Cite or Arrest Adult,HARRISON ST \ MERLIN ST,23931000.0,Southern,South of Market,6.0,6.0,37.778602600097656,-122.40238189697266,POINT (-122.402381897 37.7786026),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,,,,,10.0,1.0,2025,2
149377104013,2025-07-01 12:53:00,2025/07/01,12:53,2025,Tuesday,2025/07/01 12:57:00 PM,1493771,250364000,251821455.0,II,Initial,,4013,Assault,Aggravated Assault,"Assault, Aggravated, W/ Other Weapon",Cite or Arrest Adult,46TH AVE \ JUDAH ST,27947000.0,Taraval,Sunset/Parkside,4.0,4.0,37.76042556762695,-122.50592803955078,POINT (-122.50592804 37.760425568),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,39.0,,,,,,7.0,10.0,2025,2
149382063010,2025-07-01 14:13:00,2025/07/01,14:13,2025,Tuesday,2025/07/01 02:13:00 PM,1493820,250364141,251821720.0,II,Initial,,63010,Warrant,Other,"Warrant Arrest, Local SF Warrant",Cite or Arrest Adult,06TH ST \ MISSION ST,24293000.0,Tenderloin,South of Market,6.0,6.0,37.78097152709961,-122.40870666503906,POINT (-122.408706665 37.780971527),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,32.0,,1.0,1.0,1.0,,10.0,1.0,2025,2
149375028150,2025-07-01 12:20:00,2025/07/01,12:20,2025,Tuesday,2025/07/01 12:43:00 PM,1493750,250363977,251821418.0,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,FULTON ST \ LAGUNA ST,25958000.0,Northern,Hayes Valley,5.0,5.0,37.77832794189453,-122.42664337158205,POINT (-122.426643372 37.778327942),2025/07/02 09:37:47 AM,2025/07/03 09:55:42 AM,22.0,,,,,,11.0,4.0,2025,2
